Número de Inscrição,Data de Nascimento,Data de Inscrição,Cidade,Estado,Sexo,Deficiência,Nome,Sobrenome,Escolaridade
9e040015-59b3-46d2-9283-37aba10775f6,1998-12-06,2022-01-23 18:35:24,Porto de Oliveira,RO,M,Sim,Lorena,Nascimento,Ensino Fundamental
29f32700-1766-4add-a410-85f27c7165d3,1943-10-09,2022-01-26 01:10:45,Ramos,SP,,,Otávio,Freitas,Ensino Médio
cdebe031-88d0-4099-bfb2-47123c30ba15,2012-09-06,2022-01-05 16:46:21,Ramos Alegre,SC,F,,Milena,da Paz,Ensino Superior
0a1b5390-6ef7-442c-81cf-14754a0562a6,1947-11-26,2022-01-06 06:15:29,Caldeira de Goiás,DF,F,Sim,Mariane,Porto,Ensino Superior
8b11d945-da41-4898-b2d7-4f80f849f5c6,1988-01-02,2022-01-24 21:26:34,da Costa,MG,F,Sim,Leandro,Lima,Ensino Médio
f9139834-3f46-4843-bfef-25b05473c083,1939-12-28,2022-01-07 21:58:27,Souza,PE,,,Pietra,Viana,
c55cef5b-479c-4489-8252-b4fb8d393e3e,1962-10-18,2022-01-19 23:27:20,Vieira,RN,M,,Rafaela,Gonçalves,Ensino Superior
2034c93d-8ad3-4937-85fb-49e972dd36d1,,2022-01-17 11:56:14,da Costa Grande,SC,M,Sim,Camila,Santos,Ensino Médio
cad8af29-725e-4a89-8ba9-46b79becdeec,1981-10-27,2022-01-07 21:50:04,Nunes de Goiás,MT,F,Não,Beatriz,Sales,
b9f4188e-e6fe-4ce0-90db-91be8652a216,1945-09-21,2022-01-07 03:33:30,Cardoso,SE,F,Sim,Sabrina,Castro,Ensino Superior
5a7108eb-10e7-41b2-8332-275501a74a73,1916-09-23,2022-01-13 23:53:29,Campos da Mata,TO,M,Sim,Lorenzo,Araújo,Ensino Fundamental
cce779b7-4f16-4eef-a289-8fde3dee849d,1958-03-22,2022-01-12 11:26:35,Correia do Campo,GO,M,Sim,Gustavo,Cardoso,Ensino Médio
888ca75b-2f05-4c89-abbf-5bd6cab6fc1a,1939-06-08,2022-01-10 21:11:05,Gomes,SC,F,Sim,Luna,Vieira,
26c4079f-8ef3-4ec3-ab7b-de7734af00f7,2001-03-11,2022-01-07 04:14:33,Almeida,PE,M,Não,Olivia,Nascimento,Ensino Médio
1aaaf909-760a-4dba-90e8-4b96208a8c27,1959-06-23,2022-01-14 07:33:23,,MG,M,Sim,Thiago,Gomes,Ensino Fundamental
ca0ee64f-4cd0-45f8-9f73-6c4b18d43ff2,1988-08-17,2022-01-11 22:18:07,da Costa,MA,F,Não,Marcelo,Pereira,
1060853a-7405-4058-bc9a-56cc6334f27c,1965-09-07,2022-01-06 17:34:51,da Rosa do Campo,,M,Não,Valentina,Gomes,Ensino Fundamental
c535f8ef-47e4-42a2-b019-67210b03c052,1967-06-04,2022-01-10 01:30:24,Farias,RN,,,Amanda,Farias,Ensino Fundamental
6971192f-8a60-4472-989a-55ea5831587a,2015-07-28,2022-01-12 08:18:42,,MA,F,Não,Levi,Rocha,Ensino Fundamental
e2b7d791-1133-4b56-bc80-7f7da36a70d2,2023-08-16,2022-01-23 17:15:08,,SE,M,Não,Eduarda,da Paz,Ensino Médio
2172d91c-17da-4034-9605-89ac56100a29,,2022-01-23 09:31:38,Castro de Porto,AP,F,Sim,Vitor,Nascimento,Ensino Fundamental
d8eed95b-81d7-44ce-ac1c-8c168aa1e828,2011-09-14,2022-01-30 11:34:29,Vieira,,F,Sim,Kevin,Peixoto,Ensino Médio
a38c5367-c97a-4f78-9dc6-9369e47af20f,1966-11-14,2022-01-15 05:44:53,Campos do Galho,AP,F,Não,Maria,Jesus,Ensino Fundamental
210258d8-797f-441f-9845-942b1a70fe7c,1970-02-27,2022-01-19 14:56:33,Ferreira,CE,,Sim,Ana Beatriz,Nascimento,Ensino Fundamental
fa2c6b06-7267-4fcf-878c-9aadd8f890f3,2000-02-02,2022-01-17 15:42:24,Rezende,,M,Sim,Rodrigo,Martins,Ensino Médio
5c34f982-cd8c-4309-9ef0-77066d3943fa,1996-07-26,2022-01-09 23:32:44,,PE,F,Sim,Leonardo,Rezende,Ensino Fundamental
abe099ca-1594-4f1d-a861-04a644c24c02,1915-11-03,2022-01-20 19:16:23,Melo da Prata,,F,Não,Henrique,Farias,Ensino Fundamental
8c3ee33a-1959-4408-9fcc-d7cc1615ebf4,,2022-01-18 10:46:49,Cardoso de Martins,,F,Não,João Guilherme,das Neves,
7c5c20ed-574e-44d9-ae9c-c772c8ef17e5,1965-02-06,2022-01-06 20:55:19,,MT,F,Não,Davi Lucca,Cardoso,Ensino Médio
7cdd0bfc-99dd-46c7-8e33-9fc2a2895214,1950-08-20,2022-01-27 08:06:37,Gomes,,,Não,Lucas Gabriel,Alves,Ensino Superior
39716abe-80e5-4d69-a90c-0ad6c13a07ea,1955-05-13,2022-01-06 19:19:44,Cavalcanti,AL,M,,André,Gomes,Ensino Superior
1fb74728-e70a-4d8f-9c4e-dc9ce1f7b85a,1943-02-16,2022-01-07 08:31:35,Moura,,F,,Kamilly,Fogaça,Ensino Fundamental
11be3be1-e1c7-4bc4-adc5-dde1814e9878,,2022-01-19 16:23:25,Santos da Serra,PB,M,Não,Maria Luiza,Rodrigues,
bfd020f1-634e-4986-87f9-92bdd86df680,1943-04-17,2022-01-22 03:00:23,Aragão,PI,F,Sim,Yuri,Martins,Ensino Superior
9097571b-9fb9-43a9-a2b4-8b499f620c8a,1912-01-11,2022-01-11 03:33:49,da Costa,BA,M,Sim,Francisco,Costela,
1ff01868-1350-4126-8f3f-3f68ce625954,,2022-01-14 19:55:54,Nunes do Norte,,F,Não,Benício,Martins,
318cc7c3-f02f-4d5b-9d4f-91c9461bdc2b,1913-01-06,2022-01-19 23:27:51,Silva,,M,Sim,Henrique,Ferreira,Ensino Fundamental
48b96931-5a54-4b6c-bbab-c46bc7e56957,1970-06-26,2022-01-05 17:58:42,Monteiro do Amparo,,F,Não,Clara,Moreira,Ensino Médio
5095caf9-af96-4caf-a7ca-6d6daf3ae574,1964-08-30,2022-01-17 22:49:27,,AP,M,Sim,Elisa,Teixeira,
d9bc53eb-912b-4897-8464-133087d05e94,1994-02-26,2022-01-11 13:34:12,,MA,,,Stella,Melo,Ensino Fundamental
a87116d6-215c-459d-b36d-04dea839d3fe,,2022-01-05 14:25:54,da Mota,GO,F,Não,Bryan,Castro,Ensino Fundamental
de01cac7-cacb-4217-8d87-51ea8446f1df,,2022-01-18 12:52:41,Rocha,RR,F,,João Pedro,Viana,
ab282b78-40a1-4f09-b8a6-a2eb1759265e,2007-09-04,2022-01-26 12:53:39,Cunha,PA,M,,Bryan,Jesus,Ensino Superior
f40b70db-9c11-4ab9-bf48-b9c3e85cc28e,2009-11-05,2022-01-30 07:39:21,Nogueira do Oeste,SP,,Sim,Enrico,Souza,Ensino Fundamental
bcb328e7-a430-44cf-bf53-97013554a278,1947-11-19,2022-01-12 14:35:50,,RN,M,Sim,Maria Clara,Silveira,Ensino Fundamental
47f1ec95-d8ce-4560-8b93-1249b5d186a5,2021-03-02,2022-01-28 23:17:40,Novaes de Rocha,PI,F,Sim,Kaique,Costela,Ensino Superior
1356cae9-7bde-4cea-9234-8333e3e7de8b,1917-02-18,2022-01-26 11:07:03,,RS,,Sim,Heitor,da Luz,
6a6b3dc0-391f-40a4-a2a6-fdb9388ff8d6,2009-11-30,2022-01-14 00:57:48,Lopes da Serra,SP,F,Não,Mirella,Dias,Ensino Fundamental
6bd7615f-eb87-4462-b460-3d22e71f8c2d,2004-10-26,2022-01-22 14:54:35,da Rocha,GO,F,Sim,Eduardo,Jesus,Ensino Médio
0265ce7e-d7e4-47a9-974f-a6a7e15a9b28,2004-11-01,2022-01-18 05:18:15,,PB,F,Não,Sophie,Dias,Ensino Fundamental
6d380b94-c853-43a9-8a6d-96c50aa51b7a,2014-06-13,2022-01-20 03:06:46,Silveira da Mata,PE,,Sim,Olivia,Fogaça,Ensino Fundamental
05905706-2b32-41d9-ac01-6b344cf7b0e9,1924-01-20,2022-01-19 09:32:58,,RS,F,Não,Sabrina,Dias,Ensino Médio
6be6795e-d588-4c2b-9793-6a6f6934e97e,1925-08-31,2022-01-10 21:34:24,Martins do Oeste,GO,F,,Alexandre,Martins,Ensino Fundamental
ce1b7df5-0098-41c2-bffe-21d450ddd90e,2018-03-29,2022-01-29 11:02:30,Nascimento,,F,,Isabella,Gomes,Ensino Médio
67bc6c78-b15e-400d-a4c0-f998210fb3f9,1910-05-22,2022-01-19 20:09:51,Araújo Grande,BA,M,,Luna,da Costa,Ensino Superior
72fdbd78-b0fe-4b80-bb34-201c285e66c6,1946-10-04,2022-01-19 07:48:06,,CE,F,Sim,Mariane,da Costa,Ensino Médio
b162a88d-6afa-46aa-afbe-f5b0e0d13ce4,,2022-01-13 17:54:11,Cavalcanti,PE,F,Não,Cauê,Peixoto,Ensino Médio
25e9b106-2c3d-444d-b7d4-ae34ad33bc88,,2022-01-28 11:32:23,Correia,,F,Sim,Maria Eduarda,Porto,
4ffbc174-78af-4da1-a53a-b442c20a876e,,2022-01-14 13:27:45,,SE,,Sim,Catarina,Silveira,Ensino Fundamental
d4e8e12a-3298-4ff1-a80f-2946431bd5a7,1916-06-21,2022-01-17 00:02:17,,MS,F,Não,Giovanna,Jesus,Ensino Superior
7af3e5da-99a2-4f0f-900c-cbc194351ce8,1959-03-14,2022-01-20 22:40:45,Sales,,M,Não,Eloah,Souza,Ensino Fundamental
